date,open,high,low,adjClose,value,volume,count,close
2003-03-19,1060.0,1060.0,1060.0,1060.0,1590000,1500,1,1060.0
2003-04-06,1060.0,1060.0,1060.0,1060.0,10600000,10000,2,1060.0
2003-04-07,1060.0,1060.0,1060.0,1060.0,6658920,6282,2,1060.0
2003-04-26,1100.0,1101.0,1100.0,1100.0,29317900,26639,8,1100.0
2003-06-18,1200.0,1200.0,1200.0,1200.0,443581200,369651,2,1200.0
2014-02-23,9900.0,9900.0,9300.0,9663.0,1231277498,127423,49,9663.0
2014-02-24,9000.0,9699.0,9000.0,9472.0,731501234,77226,77,9500.0
2014-02-25,9301.0,9660.0,9280.0,9402.0,1014702891,107926,79,9280.0
2014-02-26,9200.0,9200.0,8650.0,8769.0,253710067,28932,24,8769.0
2014-03-01,8999.0,9199.0,8530.0,8981.0,116684727,12992,21,8611.0
2014-03-02,8400.0,8500.0,8301.0,8458.0,68204068,8064,19,8301.0
2014-03-03,8300.0,8300.0,7918.0,8150.0,22485164,2759,13,8000.0
2014-03-04,7802.0,8140.0,7801.0,7840.0,824988955,105226,51,7849.0
2014-03-05,7750.0,8290.0,7750.0,8033.0,443664594,55229,29,7902.0
2014-03-08,7900.0,8002.0,7401.0,7531.0,272260289,36154,37,7531.0
2014-03-09,7170.0,8000.0,7170.0,7464.0,105783476,14173,12,8000.0
2014-03-10,7470.0,8059.0,7470.0,7777.0,268304522,34500,26,8000.0
2014-03-11,8000.0,8000.0,7500.0,7656.0,292815928,38245,20,7656.0
2014-03-12,7401.0,7740.0,7400.0,7601.0,26343796,3466,9,7601.0
2014-03-15,7800.0,7800.0,7363.0,7527.0,208037481,27639,30,7363.0
2014-03-16,7505.0,8000.0,7503.0,7726.0,136388224,17653,24,8000.0
2014-03-17,7850.0,7950.0,7610.0,7857.0,153202339,19500,22,7610.0
2014-03-18,7701.0,7979.0,7650.0,7817.0,115036018,14717,23,7979.0
2014-03-19,7613.0,8185.0,7436.0,7949.0,161826878,20358,27,8185.0
2014-03-25,8472.0,8550.0,8006.0,8273.0,247887714,29962,22,8300.0
2014-03-26,8920.0,8920.0,8000.0,8162.0,132434800,16226,22,8000.0
2014-03-29,7630.0,8000.0,7630.0,7901.0,50537090,6396,10,8000.0
2014-03-30,8200.0,8270.0,8000.0,8112.0,23420550,2887,7,8000.0
2014-03-31,8350.0,8350.0,8100.0,8221.0,622294062,75695,37,8200.0
2014-04-05,7903.0,8150.0,7902.0,8039.0,79815604,9929,20,8100.0
2014-04-06,7461.0,7600.0,7422.0,7464.0,340843808,45662,26,7600.0
2014-04-07,7777.0,7777.0,7453.0,7640.0,211835145,27727,42,7481.0
2014-04-08,7680.0,7680.0,7562.0,7577.0,155240117,20488,14,7563.0
2014-04-09,7577.0,7577.0,7507.0,7516.0,150314069,19998,28,7507.0
2014-04-12,7500.0,7500.0,7070.0,7119.0,235864427,33130,28,7070.0
2014-04-13,6701.0,7040.0,6602.0,6780.0,105231564,15520,12,7040.0
2014-04-14,6425.0,6620.0,6425.0,6436.0,775145327,120442,35,6620.0
2014-04-15,6944.0,6950.0,6700.0,6809.0,1047448735,153832,58,6950.0
2014-04-16,7200.0,7200.0,6900.0,7024.0,355438629,50607,25,6901.0
2014-04-19,7200.0,7200.0,6522.0,6831.0,461116505,67500,24,6850.0
2014-04-20,6949.0,7283.0,6700.0,6934.0,1083675150,156286,84,7006.0
2014-07-07,6600.0,6600.0,6500.0,6505.0,273200000,42000,5,6500.0
2014-07-08,6500.0,6500.0,6500.0,6500.0,212394000,32676,9,6500.0
